iter	Passed	Remaining
933	27426	16620
934	27461	16594
935	27488	16563
936	27517	16533
937	27560	16512
938	27597	16487
939	27620	16455
940	27644	16422
941	27669	16390
942	27706	16365
943	27739	16338
944	27764	16306
945	27800	16280
946	27826	16249
947	27853	16218
948	27876	16185
949	27906	16156
950	27934	16126
951	27964	16097
952	27988	16065
953	28022	16037
954	28052	16009
955	28082	15979
956	28109	15949
957	28140	15920
958	28170	15891
959	28198	15861
960	28221	15828
961	28257	15802
962	28281	15770
963	28310	15741
964	28336	15709
965	28370	15682
966	28396	15651
967	28420	15619
968	28442	15586
969	28479	15561
970	28508	15531
971	28532	15499
972	28566	15472
973	28615	15453
974	28641	15422
975	28670	15392
976	28701	15364
977	28737	15338
978	28763	15307
979	28794	15278
980	28826	15250
981	28854	15220
982	28878	15188
983	28906	15158
984	28937	15129
985	28961	15097
986	28988	15066
987	29017	15037
988	29050	15009
989	29074	14977
990	29097	14944
991	29131	14918
992	29162	14889
993	29188	14858
994	29212	14826
995	29242	14797
996	29272	14768
997	29297	14736
998	29322	14705
999	29363	14681
1000	29392	14652
1001	29419	14621
1002	29445	14590
1003	29481	14564
1004	29508	14533
1005	29534	14502
1006	29559	14471
1007	29593	14444
1008	29637	14422
1009	29662	14390
1010	29700	14365
1011	29732	14337
1012	29760	14307
1013	29787	14276
1014	29823	14250
1015	29860	14225
1016	29892	14196
1017	29922	14167
1018	29960	14142
1019	29985	14110
1020	30009	14079
1021	30039	14049
1022	30067	14019
1023	30092	13988
1024	30124	13960
1025	30161	13934
1026	30193	13905
1027	30219	13875
1028	30244	13843
1029	30278	13816
1030	30308	13787
1031	30333	13755
1032	30362	13726
1033	30393	13697
1034	30425	13669
1035	30454	13640
1036	30487	13612
1037	30518	13583
1038	30545	13553
1039	30572	13522
1040	30607	13495
1041	30638	13467
1042	30683	13444
1043	30717	13416
1044	30748	13387
1045	30774	13357
1046	30801	13326
1047	30833	13298
1048	30865	13270
1049	30892	13239
1050	30920	13209
1051	30953	13181
1052	30984	13153
1053	31008	13121
1054	31035	13090
1055	31070	13063
1056	31100	13034
1057	31130	13005
1058	31161	12976
1059	31191	12947
1060	31218	12917
1061	31245	12886
1062	31272	12856
1063	31302	12826
1064	31332	12797
1065	31361	12768
1066	31390	12738
1067	31424	12711
1068	31455	12682
1069	31480	12651
1070	31513	12623
1071	31548	12595
1072	31576	12565
1073	31607	12536
1074	31640	12508
1075	31670	12479
1076	31719	12458
1077	31754	12430
1078	31785	12401
1079	31814	12372
1080	31844	12342
1081	31877	12314
1082	31911	12287
1083	31942	12258
1084	31978	12231
1085	32016	12205
1086	32048	12176
1087	32080	12148
1088	32115	12120
1089	32147	12092
1090	32174	12061
1091	32209	12034
1092	32239	12005
1093	32270	11975
1094	32300	11946
1095	32333	11918
1096	32360	11887
1097	32394	11860
1098	32427	11832
1099	32456	11802
1100	32486	11772
1101	32514	11742
1102	32546	11714
1103	32573	11683
1104	32598	11652
1105	32631	11624
1106	32670	11598
1107	32702	11569
1108	32749	11546
1109	32780	11517
1110	32809	11487
1111	32835	11456
1112	32867	11428
1113	32898	11399
1114	32927	11369
1115	32955	11339
1116	32987	11310
1117	33018	11281
1118	33044	11251
1119	33067	11219
1120	33101	11191
1121	33130	11161
1122	33155	11130
1123	33182	11100
1124	33213	11071
1125	33237	11039
1126	33264	11009
1127	33294	10980
1128	33328	10951
1129	33359	10923
1130	33383	10891
1131	33410	10861
1132	33439	10831
1133	33466	10801
1134	33490	10770
1135	33522	10741
1136	33546	10710
1137	33572	10679
1138	33593	10647
1139	33619	10616
1140	33649	10587
1141	33675	10556
1142	33703	10526
1143	33731	10496
1144	33757	10466
1145	33806	10442
1146	33838	10414
1147	33867	10384
1148	33897	10355
1149	33928	10326
1150	33958	10296
1151	33987	10266
1152	34017	10237
1153	34050	10209
1154	34084	10180
1155	34111	10150
1156	34135	10119
1157	34171	10091
1158	34198	10061
1159	34224	10031
1160	34248	10000
1161	34279	9971
1162	34308	9941
1163	34332	9910
1164	34361	9880
1165	34390	9851
1166	34416	9820
1167	34443	9790
1168	34466	9758
1169	34498	9730
1170	34525	9700
1171	34550	9669
1172	34573	9638
1173	34602	9608
1174	34632	9579
1175	34661	9549
1176	34686	9518
1177	34715	9489
1178	34741	9458
1179	34766	9428
1180	34795	9398
1181	34825	9369
1182	34869	9343
1183	34894	9313
1184	34925	9283
1185	34956	9254
1186	34981	9224
1187	35008	9194
1188	35042	9165
1189	35071	9136
1190	35099	9106
1191	35124	9075
1192	35155	9046
1193	35183	9016
1194	35209	8986
1195	35230	8955
1196	35259	8925
1197	35290	8896
1198	35319	8866
1199	35342	8835
1200	35380	8808
1201	35408	8778
1202	35434	8748
1203	35463	8718
1204	35494	8689
1205	35526	8660
1206	35553	8630
1207	35583	8601
1208	35612	8571
1209	35641	8542
1210	35668	8512
1211	35704	8484
1212	35732	8454
1213	35757	8423
1214	35782	8393
1215	35814	8364
1216	35837	8333
1217	35864	8303
1218	35907	8277
1219	35936	8247
1220	35962	8217
1221	35987	8187
1222	36013	8156
1223	36041	8127
1224	36076	8098
1225	36106	8069
1226	36135	8039
1227	36168	8011
1228	36197	7981
1229	36223	7951
1230	36246	7920
1231	36276	7891
1232	36305	7861
1233	36327	7830
1234	36357	7801
1235	36386	7771
1236	36416	7742
1237	36437	7711
1238	36465	7681
1239	36495	7652
1240	36524	7622
1241	36550	7592
1242	36577	7562
1243	36605	7532
1244	36635	7503
1245	36659	7473
1246	36687	7443
1247	36719	7414
1248	36744	7384
1249	36770	7354
1250	36798	7324
1251	36831	7295
1252	36863	7266
1253	36889	7236
1254	36920	7207
1255	36970	7182
1256	36993	7151
1257	37027	7122
1258	37055	7093
1259	37082	7063
1260	37110	7033
1261	37146	7005
1262	37177	6976
1263	37201	6945
1264	37225	6915
1265	37259	6886
1266	37289	6857
1267	37317	6827
1268	37348	6798
1269	37379	6769
1270	37405	6739
1271	37430	6709
1272	37458	6679
1273	37485	6649
1274	37511	6619
1275	37538	6589
1276	37570	6560
1277	37601	6531
1278	37627	6501
1279	37660	6472
1280	37686	6442
1281	37713	6413
1282	37736	6382
1283	37768	6353
1284	37799	6324
1285	37823	6294
1286	37846	6263
1287	37878	6234
1288	37906	6204
1289	37934	6175
1290	37965	6146
1291	38018	6120
1292	38045	6090
1293	38067	6060
1294	38099	6031
1295	38131	6002
1296	38155	5971
1297	38182	5942
1298	38211	5912
1299	38237	5882
1300	38262	5852
1301	38284	5822
1302	38314	5792
1303	38341	5763
1304	38369	5733
1305	38395	5703
1306	38426	5674
1307	38456	5645
1308	38483	5615
1309	38507	5585
1310	38538	5555
1311	38568	5526
1312	38598	5497
1313	38624	5467
1314	38660	5438
1315	38691	5409
1316	38716	5379
1317	38745	5350
1318	38776	5321
1319	38804	5291
1320	38829	5261
1321	38854	5231
1322	38884	5202
1323	38912	5172
1324	38940	5143
1325	38962	5112
1326	38993	5083
1327	39024	5054
1328	39069	5026
1329	39095	4997
1330	39127	4968
1331	39154	4938
1332	39179	4908
1333	39207	4878
1334	39241	4850
1335	39271	4820
1336	39294	4790
1337	39323	4761
1338	39352	4731
1339	39382	4702
1340	39408	4672
1341	39433	4642
1342	39456	4612
1343	39488	4583
1344	39513	4553
1345	39541	4524
1346	39560	4493
1347	39580	4463
1348	39599	4432
1349	39619	4402
1350	39637	4371
1351	39660	4341
1352	39678	4311
1353	39699	4280
1354	39722	4250
1355	39745	4220
1356	39776	4191
1357	39804	4162
1358	39828	4132
1359	39850	4102
1360	39872	4072
1361	39893	4042
1362	39917	4012
1363	39936	3981
1364	39957	3951
1365	39978	3921
1366	40000	3891
1367	40022	3861
1368	40042	3831
1369	40062	3801
1370	40099	3773
1371	40122	3743
1372	40142	3713
1373	40162	3683
1374	40182	3652
1375	40204	3623
1376	40225	3593
1377	40248	3563
1378	40267	3533
1379	40288	3503
1380	40308	3473
1381	40329	3443
1382	40354	3413
1383	40373	3383
1384	40394	3354
1385	40415	3324
1386	40434	3294
1387	40454	3264
1388	40473	3234
1389	40494	3204
1390	40516	3174
1391	40536	3145
1392	40558	3115
1393	40578	3085
1394	40598	3055
1395	40620	3026
1396	40639	2996
1397	40659	2966
1398	40678	2936
1399	40699	2907
1400	40719	2877
1401	40740	2847
1402	40761	2818
1403	40785	2788
1404	40807	2759
1405	40828	2729
1406	40848	2699
1407	40869	2670
1408	40888	2640
1409	40911	2611
1410	40931	2581
1411	40952	2552
1412	40972	2522
1413	40993	2493
1414	41013	2463
1415	41039	2434
1416	41071	2405
1417	41092	2376
1418	41133	2348
1419	41153	2318
1420	41173	2289
1421	41194	2259
1422	41215	2230
1423	41238	2200
1424	41262	2171
1425	41286	2142
1426	41306	2113
1427	41327	2083
1428	41349	2054
1429	41368	2025
1430	41388	1995
1431	41410	1966
